Geo Point;Name;Name (en);Name (fr);IATA code;ICAO code;Wikipedia id;Wikidata id;Website;Phone;Operator;Description;Edit in OSM;Source;other_tags;Country;Country code
6.9353952, 100.3937098;ท่าอากาศยานนานาชาติหาดใหญ่;Hat Yai International Airport;;HDY;VTSS;en:Hat Yai International Airport;Q912583;;;Airports of Thailand;;https://www.openstreetmap.org/edit?node=297329780;wikipedia;"{""passengers"": ""1869000"", ""name:th"": ""\u0e17\u0e48\u0e32\u0e2d\u0e32\u0e01\u0e32\u0e28\u0e22\u0e32\u0e19\u0e19\u0e32\u0e19\u0e32\u0e0a\u0e32\u0e15\u0e34\u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48"", ""aeroway"": ""aerodrome"", ""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""ele"": ""27""}";Thailand;TH
51.1075552, 16.8756697;Port Lotniczy Wrocław;;;WRO;EPWR;en:Copernicus Airport Wrocław;Q1107152;;;Port Lotniczy Wrocław SA;;https://www.openstreetmap.org/edit?node=408720211;http://airport.wroclaw.pl/biznes/dane-techniczne/;"{""int_name"": ""Copernicus Airport Wroc\u0142aw"", ""short_name"": ""Lotnisko Wroc\u0142aw"", ""note:alt_name"": ""W Rejestrze Lotnick Cywilnych figuruje jako Wroc\u0142aw-Strachowice"", ""closest_town"": ""Wroc\u0142aw"", ""name:cs"": ""Leti\u0161t\u011b Mikul\u00e1\u0161e Kopern\u00edka Vratislav"", ""official_name"": ""Port Lotniczy Wroc\u0142aw im. Miko\u0142aja Kopernika"", ""ele"": ""123"", ""aeroway"": ""aerodrome"", ""aerodrome:type"": ""international"", ""alt_name"": ""Wroc\u0142aw-Strachowice"", ""ref"": ""WRO"", ""short_name:cs"": ""Leti\u0161t\u011b Vratislav""}";Poland;PL
23.8462861, 90.40215;হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর (DAC);Hazrat Shahjalal International Airport;;DAC;VGHS;;;;;;;https://www.openstreetmap.org/edit?node=793242699;;"{""name:bn"": ""\u09b9\u09af\u09b0\u09a4 \u09b6\u09be\u09b9\u099c\u09be\u09b2\u09be\u09b2 \u0986\u09a8\u09cd\u09a4\u09b0\u09cd\u099c\u09be\u09a4\u09bf\u0995 \u09ac\u09bf\u09ae\u09be\u09a8\u09ac\u09a8\u09cd\u09a6\u09b0"", ""aeroway"": ""aerodrome"", ""old_name"": ""Zia International Airport"", ""ref"": ""DAC"", ""aerodrome"": ""international""}";Bangladesh;BD
25.2515115, 55.370611;مطار دبي الدولي;Dubai International Airport;Aéroport international de Dubaï;DXB;OMDB;ar:مطار دبي الدولي;Q193439;http://www.dubaiairport.com/;;Department of Civil Aviation;;https://www.openstreetmap.org/edit?node=10315801;;"{""aeroway"": ""aerodrome"", ""aerodrome"": ""international"", ""name:de"": ""Flughafen Dubai"", ""rank_aci:2016"": ""3"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u062f\u0628\u064a \u0627\u0644\u062f\u0648\u0644\u064a"", ""name:zh"": ""\u675c\u62dc\u570b\u969b\u6a5f\u5834"", ""aerodrome:type"": ""public"", ""ele"": ""19""}";United Arab Emirates;AE
40.8839298, 14.2891997;Aeroporto di Napoli Capodichino;Naples International Airport;;NAP;LIRN;it:Aeroporto di Napoli-Capodichino;Q849383;http://www.aeroportodinapoli.it/;;;;https://www.openstreetmap.org/edit?node=22652287;Gagravarr_Airports;"{""local_ref"": ""NA01"", ""aeroway"": ""aerodrome"", ""type"": ""civil"", ""aerodrome:type"": ""public"", ""aerodrome"": ""international""}";Italy;IT
19.0902056, 72.8628327;Chhatrapati Shivaji International Airport;;;BOM;VABB;en:Chhatrapati Shivaji International Airport;Q504368;;;;;https://www.openstreetmap.org/edit?node=22826676;Gagravarr_Airports;"{""aeroway"": ""aerodrome"", ""name:kn"": ""\u0c9b\u0ca4\u0ccd\u0cb0\u0caa\u0ca4\u0cbf \u0cb6\u0cbf\u0cb5\u0cbe\u0c9c\u0cbf \u0c87\u0c82\u0c9f\u0cb0\u0ccd\u200c\u0ca8\u0ccd\u0caf\u0cbe\u0cb6\u0ca8\u0cb2\u0ccd \u0c8f\u0cb0\u0ccd\u200c\u0caa\u0ccb\u0cb0\u0ccd\u0c9f\u0ccd"", ""rank_aci:2016"": ""29"", ""aerodrome"": ""international"", ""name:zh"": ""\u8d3e\u7279\u62c9\u5e15\u8482\u00b7\u5e0c\u74e6\u5409\u56fd\u9645\u673a\u573a"", ""aerodrome:type"": ""public"", ""ele"": ""11""}";India;IN
41.8150784, 12.2507002;Aeroporto di Roma-Fiumicino;Roma-Fiumicino Airport;;FCO;LIRF;it:Aeroporto di Roma-Fiumicino;Q19101;;+39 06 65951;Aeroporti di Roma S.p.A.;;https://www.openstreetmap.org/edit?node=22883270;wikipedia;"{""passengers"": ""36337523"", ""local_ref"": ""RM11"", ""short_operator"": ""ADR"", ""city_served"": ""Rome"", ""addr:city"": ""Fiumicino"", ""official_name"": ""Aeroporto Internazionale Leonardo da Vinci"", ""name:ko"": ""\ub808\uc624\ub098\ub974\ub3c4\ub2e4\ube48\uce58 \ud53c\uc6b0\ubbf8\uce58\ub178\uacf5\ud56d"", ""official_name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u041b\u0435\u043e\u043d\u0430\u0440\u0434\u043e \u0434\u0430 \u0412\u0438\u043d\u0447\u0438"", ""aerodrome:type"": ""public"", ""ele"": ""5"", ""start_date"": ""1960"", ""aeroway"": ""aerodrome"", ""official_name:it"": ""Aeroporto Internazionale Leonardo da Vinci"", ""name:it"": ""Aeroporto di Roma-Fiumicino"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0420\u0438\u043c-\u0424\u044c\u044e\u043c\u0438\u0447\u0438\u043d\u043e"", ""aerodrome"": ""international"", ""email"": ""aeroportidiroma@adr.it"", ""addr:street"": ""Via Leonardo da Vinci""}";Italy;IT
-18.0432556, 178.5593311;Nausori International Airport;;;SUV;NFNA;en:Nausori International Airport;Q1188985;;;;;https://www.openstreetmap.org/edit?node=23920194;;"{""is_in"": ""Suva,Fiji"", ""aeroway"": ""aerodrome"", ""aerodrome:type"": ""international"", ""ele"": ""5""}";Fiji;FJ
13.079862, -59.4876852;;;;;;;;;;;;https://www.openstreetmap.org/edit?node=25639014;;"{""building"": ""yes"", ""internet_access:fee"": ""no"", ""airport"": ""aerodrome"", ""aeroway"": ""terminal"", ""aerodrome:type"": ""international"", ""internet_access"": ""yes""}";Barbados;BB
22.4613559, -78.3292068;Aeropuerto Internacional Jardines del Rey;Jardines del Rey Airport;;CCC;MUCC;en:Jardines del Rey Airport;Q2895532;;;ECASA;;https://www.openstreetmap.org/edit?node=29194764;;"{""aeroway"": ""aerodrome"", ""name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0425\u0430\u0440\u0434\u0438\u043d\u0435\u0441-\u0434\u0435\u043b\u044c-\u0420\u0435\u0439"", ""ele"": ""4"", ""internet_access"": ""yes"", ""aerodrome:type"": ""international"", ""is_in"": ""Ciego de \u00c1vila, Cuba""}";Cuba;CU
